appid,date,newinstalls,predictionloss,daureal,maureal,category,ratings,daily_ratings,reviews,daily_reviews
com.app.86367,2024-01-01,1968,2438,89883,660867,FINANCE,41891,28,18151,37
com.app.18711,2024-01-01,1364,2184,78810,422698,BUSINESS,56121,4,14906,3
com.app.36257,2024-01-01,7511,8388,475571,1974569,BUSINESS,97211,12,56560,26
com.app.88509,2024-01-01,53137,27530,4094009,24681884,OTHERS,961533,365,496734,157
com.app.93131,2024-01-01,137,1785,12443,33407,BUSINESS,2958,1,1241,1
com.app.19821,2024-01-01,19353,26520,582584,5196286,FOOD_AND_DRINK,802778,12,278232,21
com.app.60770,2024-01-01,177,1785,8727,38642,FOOD_AND_DRINK,3569,1,1718,0
com.app.15675,2024-01-01,3490,2503,83565,795879,FINANCE,546582,220,83173,204
com.app.35851,2024-01-01,1513,9746,12464,177939,OTHERS,24503,8,6186,0
com.app.78470,2024-01-01,3393,4499,17139,472638,SHOPPING,97924,7,27241,23
com.app.68015,2024-01-01,3533,27138,78253,1326216,OTHERS,554215,13,136064,24
com.app.64140,2024-01-01,791,8607,50451,736659,SHOPPING,200814,64,26378,18
com.app.61743,2024-01-01,1132,3874,33807,490644,SHOPPING,201401,37,47813,7
com.app.87362,2024-01-01,8628,26471,210524,814273,OTHERS,664013,26,258046,15
com.app.84714,2024-01-01,1612,13974,124602,966721,OTHERS,338894,110,59012,10
com.app.93571,2024-01-01,21526,125918,2080191,12623649,OTHERS,1039113,699,318955,81
com.app.17806,2024-01-01,5955,27040,163431,3502553,OTHERS,682224,154,168471,57
com.app.82896,2024-01-01,1218,3006,9976,184014,FINANCE,15353,20,3296,18
com.app.77385,2024-01-01,3136,4497,239768,1934660,FINANCE,197329,187,79637,25
com.app.32607,2024-01-01,1744,1878,59951,531437,FINANCE,80077,72,20927,23
com.app.21603,2024-01-01,2519,7679,384877,6911370,FINANCE,61150,61,18158,50
com.app.80525,2024-01-01,962,5611,9391,239493,FINANCE,287872,1,158760,0
com.app.31679,2024-01-01,2160,4287,157532,1349262,FINANCE,277813,132,139907,19
com.app.33540,2024-01-01,8068,8170,393961,3643110,FINANCE,223848,297,82172,46
com.app.62109,2024-01-01,10128,16793,847493,7033633,FINANCE,810247,622,316558,73
com.app.41189,2024-01-01,13830,45759,4954347,19039746,FINANCE,3499378,766,952285,171
com.app.19772,2024-01-01,1125,5986,155132,892322,FINANCE,180081,30,56227,10
com.app.80610,2024-01-01,10890,112183,611934,10237530,BUSINESS,893104,191,359446,120
com.app.44002,2024-01-01,243,4889,12282,140912,TRAVEL_AND_LOCAL,7942,12,3336,2
com.app.23305,2024-01-01,37009,147684,4686374,29605840,OTHERS,2544917,392,1131299,210
com.app.24343,2024-01-01,2257,6201,17130,196445,TRAVEL_AND_LOCAL,14156,12,4356,1
com.app.99432,2024-01-01,8039,15147,791535,2978711,BUSINESS,245095,6,138531,17
com.app.85231,2024-01-01,443,1718,8888,73394,FINANCE,36486,0,21539,2
com.app.36648,2024-01-01,415,1546,184528,684357,FINANCE,145442,26,46032,4
com.app.31454,2024-01-01,190,1786,1823,49430,OTHERS,1132,0,694,0
com.app.59245,2024-01-01,326,1933,8223,179370,FINANCE,7126,1,3949,3
com.app.31097,2024-01-01,1858,8966,15959,170464,TRAVEL_AND_LOCAL,8452,8,3153,5
com.app.95194,2024-01-01,10958,27237,333135,4878634,SHOPPING,533663,123,213386,40
com.app.60423,2024-01-01,2092,5779,44667,678081,SHOPPING,83679,16,42077,9
com.app.74794,2024-01-01,5104,12659,153064,1773743,SHOPPING,202922,14,73209,8
com.app.48189,2024-01-01,164,1405,5598,43743,FINANCE,24353,6,9099,0
com.app.37904,2024-01-01,12508,14344,72094,674433,SHOPPING,455,27,262,10
com.app.22262,2024-01-01,2832,3231,60546,611692,FINANCE,83471,125,17281,16
com.app.72653,2024-01-01,1030,1516,15223,111971,FINANCE,36075,2,15277,2
com.app.55481,2024-01-01,1200,2863,16664,287974,FINANCE,47504,9,25356,9
com.app.65327,2024-01-01,3094,4450,48634,595117,SHOPPING,198997,9,66228,4
com.app.96897,2024-01-01,1209,3186,24199,323985,FINANCE,11232,12,5273,7
com.app.40009,2024-01-01,718,1818,77592,296839,OTHERS,63500,5,25251,0
com.app.68335,2024-01-01,384,1782,7938,68700,FINANCE,4738,1,3219,0
com.app.95243,2024-01-01,1962,3281,59920,509353,FINANCE,27176,12,15084,23
com.app.14509,2024-01-01,24465,37538,777969,5880590,FINANCE,1242231,149,584161,136
com.app.66274,2024-01-01,365,549,6360,76404,BUSINESS,22252,2,12705,2
com.app.71740,2024-01-01,100,1463,2809,34421,FINANCE,8327,1,4351,1
com.app.37148,2024-01-01,233,1387,8020,53055,FINANCE,15880,3,8605,0
com.app.64353,2024-01-01,786,2579,174753,721779,FINANCE,24028,6,9239,2
com.app.94251,2024-01-01,734,1309,40357,199856,FINANCE,67651,13,17101,7
com.app.95444,2024-01-01,443,1924,1818,34388,FINANCE,2786,0,1039,0
com.app.97988,2024-01-01,362,6269,5790,60640,SHOPPING,10744,0,4233,0
com.app.64851,2024-01-01,134,1638,3897,79821,FINANCE,10012,6,1145,2
com.app.24391,2024-01-01,65,2158,4469,79117,OTHERS,1090,11,713,3
com.app.36612,2024-01-01,299,4879,16499,168893,SHOPPING,1002,6,476,1
com.app.24438,2024-01-01,4868,10804,52117,546565,OTHERS,74411,48,29169,20
com.app.59849,2024-01-01,2230,21683,50658,1444325,OTHERS,1475082,-35,375742,-29
com.app.30329,2024-01-01,24915,79693,797005,10432652,FOOD_AND_DRINK,1391576,909,170012,65
com.app.64764,2024-01-01,1218,2289,15510,148869,FINANCE,41633,8,15421,5
com.app.50760,2024-01-01,362,681,18317,168484,BUSINESS,58438,0,11151,2
com.app.54019,2024-01-01,449,4615,4534,79498,SHOPPING,2078,0,266,0
com.app.45949,2024-01-01,10719,35178,429948,2907303,OTHERS,469895,953,41746,145
com.app.87209,2024-01-01,40,1921,2568,66299,FINANCE,2275,16,462,5
com.app.62062,2024-01-01,871,4554,22618,497189,SHOPPING,52665,1,1845,2
com.app.37541,2024-01-01,2912,3158,33224,435389,SHOPPING,155429,5,47489,3
com.app.13655,2024-01-01,881,1569,10149,77387,FINANCE,62744,1,26406,1
com.app.92210,2024-01-01,550,4314,11512,107772,TRAVEL_AND_LOCAL,8836,2,3539,1
com.app.45088,2024-01-01,17979,72342,2808172,12119811,FINANCE,2617006,927,459476,166
com.app.31404,2024-01-01,145,1400,6411,42136,FINANCE,13220,1,6915,2
com.app.97802,2024-01-01,191,7483,2160,55413,OTHERS,2401,2,1006,0
